"title_vec"	"p_value"	"TransmissionRate"	"adj_p_value"	"p_value_sq"	"adj_p_value_sq"	"TotalKernelFull"	"TotalKernelEnds"
"B2x571-3_inference.xml"	0.0001235312603204	0.139204545454545	0.0197778252140397	0.000209260736623041	0.0296692084499896	352	311
"B2x571-1_inference.xml"	0.000141185586860011	0.119402985074627	0.0197778252140397	0.000252862572016957	0.0296692084499896	402	353
"Z2x88-4.xml"	0.000199814030490937	0.323679727427598	0.0197778252140397	0.00100227004363208	0.0440998819198114	587	543
"Z2x234A-2_m1_inference.xml"	0.000224748013795906	0.324731182795699	0.0197778252140397	0.000978294602024801	0.0440998819198114	465	441
"Y2x24-2_inference.xml"	0.000310522128824619	0.44987146529563	0.0218607578692532	0.000407659770591856	0.0358740598120834	389	351
"Z2x88-6_inference.xml"	0.000627565969353437	0.411889596602972	0.0368172035354016	0.00329645071478414	0.101824814247584	471	440
"X400x570AL-4m2_inference.xml"	0.000786496317622485	0.266233766233766	0.0395495291147307	0.00347130048571308	0.101824814247584	308	289
"Y2x24-4.xml"	0.000997881677039969	0.259860788863109	0.0439067937897586	0.000639994542953964	0.0440998819198114	431	389
"Z2x88-3_inference.xml"	0.00138172680778021	0.516483516483517	0.0540408707042928	0.00190145139837739	0.0670510843384169	364	331
"Z102x10-3_inference.xml"	0.00154221943557101	0.167272727272727	0.0542861241320997	0.00599363259162186	0.14065057815006	275	255
"Y2x72-6m1_inference.xml"	0.00179206899340412	0.454545454545455	0.057346207788932	0.00582246827489678	0.14065057815006	506	452
"Z102x15-5_inference.xml"	0.00286675839546895	0.35042735042735	0.0840915796004225	0.00449680650178809	0.121759683740724	351	326
"Y2x24-3_inference.xml"	0.00357195580616447	0.380434782608696	0.0931509724970512	0.0152790539414329	0.262167813697516	368	334
"Y2x24-5.xml"	0.00403086260442542	0.386609071274298	0.0931509724970512	0.0186198731319259	0.262167813697516	463	429
"A102x233A-4_inference.xml"	0.00407679758895544	0.292035398230089	0.0931509724970512	0.011988540990998	0.248233319343017	226	210
"Z1x81-6_m1_inference.xml"	0.00423413511350233	0.539906103286385	0.0931509724970512	0.00190486035052321	0.0670510843384169	426	385
"Y1x375A-4.xml"	0.00536314436738983	0.294117647058824	0.109036722935061	0.0103799435854064	0.228358758878942	306	269
"Y1x285A-3m2_inference.xml"	0.0055757415137247	0.242990654205607	0.109036722935061	0.0169990490022077	0.262167813697516	321	295
"X401x492-3m1_inference.xml"	0.00644840987334304	0.265993265993266	0.119465277653513	0.0170305944917174	0.262167813697516	297	277
"X401x422-4m1_inference.xml"	0.00761806510361953	0.380645161290323	0.134077945823704	0.0299727067433125	0.34565946264284	310	284
"Z1x203B-5_inference.xml"	0.00819429512517787	0.329305135951662	0.137351994479172	0.0182682501004716	0.262167813697516	331	305
"X400x568AL-4m1_inference.xml"	0.0087345646866643	0.391975308641975	0.139753034986629	0.0224391413733206	0.303791452438802	324	312
"Z1x202A-2_inference.xml"	0.0103243283889586	0.407942238267148	0.158007112735366	0.0304416004032046	0.34565946264284	277	260
"Y1x284B-1.xml"	0.0133121655490009	0.326693227091633	0.194500040611122	0.0460401252024366	0.368976418353624	251	230
"Y2x232-4_inference.xml"	0.0138139233388581	0.468911917098446	0.194500040611122	0.0164857437961203	0.262167813697516	386	357
"Y1x331AL-11.xml"	0.0146015598309389	0.152542372881356	0.197682656172711	0.0503149661391306	0.368976418353624	413	377
"Z2x84-7_inference.xml"	0.015847962719305	0.434650455927052	0.206610476933161	0.0494437816462508	0.368976418353624	329	300
"Z2x81-2_m1_inference.xml"	0.0175582230744959	0.406542056074766	0.214040251318097	0.038393617247402	0.365258196515825	428	402
"Z1x201-1_inference.xml"	0.0179647269258943	0.349264705882353	0.214040251318097	0.046720513167347	0.368976418353624	272	251
"B2x562-4_inference.xml"	0.0182420668737015	0.328125	0.214040251318097	0.0533642506982734	0.375684324915845	384	334
"Y2x274-2m2.xml"	0.0211684594542455	0.451807228915663	0.240364442835304	0.0699680300353468	0.439989868195233	332	301
"Z2x81-6_m1_inference.xml"	0.0223464598028141	0.548387096774194	0.245811057830955	0.0459524424362991	0.368976418353624	434	412
"Z1x231-4_inference.xml"	0.0249330563875423	0.128440366972477	0.265952601467118	0.0884602654622554	0.45826679223911	327	299
"X401x491-1m1_inference.xml"	0.0269705214358952	0.312883435582822	0.272677549849618	0.0740701341859181	0.453085738238291	326	297
"Z2x233A-8_m1_inference.xml"	0.0271128245589109	0.421768707482993	0.272677549849618	0.0699983881219689	0.439989868195233	294	269
"Y2x268-1.xml"	0.0297697214844562	0.517647058823529	0.290083190015467	0.0436640088186363	0.368976418353624	340	316
"A102x230-5_inference.xml"	0.031663186303487	0.205607476635514	0.290083190015467	0.0746561727779003	0.453085738238291	214	195
"A102x40-1.xml"	0.0325486176911311	0.478547854785479	0.290083190015467	0.104344051096833	0.45826679223911	303	275
"Y2x282A-6.xml"	0.0325648301768883	0.411585365853659	0.290083190015467	0.101943019243213	0.45826679223911	328	301
"X401x477A-4m1_inference.xml"	0.033417946729509	0.364978902953586	0.290083190015467	0.0458055015580692	0.368976418353624	474	427
"Y2x69-3_inference.xml"	0.0351030570529482	0.494646680942184	0.290083190015467	0.11573995235706	0.45826679223911	467	418
"Z1x205-7_inference.xml"	0.035155944471375	0.330097087378641	0.290083190015467	0.0182385346528526	0.262167813697516	309	284
"Y2x287A-6m3.xml"	0.0354362987802986	0.41044776119403	0.290083190015467	0.100122882833343	0.45826679223911	268	243
